"","lun_degs_uni"
"1289","gene3619"
"1290","gene22570"
"1291","gene4351"
"1292","gene14012"
"1293","gene12617"
"1294","gene23474"
"1295","gene15179"
"1296","gene25731"
"1297","gene650"
"1298","gene14080"
"1299","gene135"
"1300","gene11873"
"1301","gene24628"
"1302","gene15181"
"1303","gene22642"
"1304","gene7250"
"1305","gene19616"
"1306","gene7249"
"1307","gene6122"
"1308","gene4524"
"1309","gene13930"
"1310","gene22412"
"1311","gene5336"
"1312","gene12562"
"1313","gene19028"
"1314","gene22747"
"1315","gene18567"
"1316","gene18720"
"1317","gene13884"
"1318","gene17805"
"1319","gene11272"
"1320","gene17417"
"1321","gene21922"
"1322","gene6017"
"1323","gene7372"
"1324","gene4881"
"1325","gene680"
"1326","gene12489"
"1327","gene14353"
"1328","gene18719"
"1329","gene9768"
"1330","gene3915"
"1331","gene832"
"1332","gene4220"
"1333","gene466"
"1334","gene10027"
"1335","gene6496"
"1336","gene24017"
"1337","gene15883"
"1338","gene25864"
"1339","gene9128"
"1340","gene5171"
"1341","gene616"
"1342","gene12600"
"1343","gene18267"
"1344","gene124"
"1345","gene6957"
"1346","gene17763"
"1347","gene789"
"1348","gene17575"
"1349","gene6887"
"1350","gene18764"
"1351","gene9584"
"1352","gene10335"
"1353","gene9345"
"1354","gene5952"
"1355","gene5631"
"1356","gene12565"
"1357","gene7090"
"1358","gene13896"
"1359","gene2763"
"1360","gene14039"
"1361","gene21730"
"1362","gene14174"
"1363","gene4435"
"1364","gene5688"
"1365","gene24857"
"1366","gene4605"
"1367","gene14244"
"1368","gene6391"
"1369","gene301"
"1370","gene20467"
"1371","gene498"
"1372","gene16071"
"1373","gene22204"
"1374","gene20366"
"1375","gene2174"
"1376","gene13007"
"1377","gene6090"
"1378","gene11217"
"1379","gene18767"
"1380","gene1934"
"1381","gene25205"
"1382","gene14894"
"1383","gene10281"
"1384","gene13457"
"1385","gene7382"
"1386","gene1750"
"1387","gene12173"
"1388","gene15254"
"1389","gene10178"
"1390","gene11087"
"1391","gene4799"
"1392","gene21905"
"1393","gene12970"
"1394","gene1593"
"1395","gene20881"
"1396","gene12799"
"1397","gene20679"
"1398","gene15329"
"1399","gene905"
"1400","gene11089"
"1401","gene16330"
"1402","gene11342"
"1403","gene19211"
"1404","gene14036"
"1405","gene24270"
"1406","gene12781"
"1407","gene10296"
"1408","gene15741"
"1409","gene6308"
"1410","gene6432"
"1411","gene6242"
"1412","gene5012"
"1413","gene10673"
"1414","gene10211"
"1415","gene1602"
"1416","gene16194"
"1417","gene4915"
"1418","gene6983"
"1419","gene14456"
"1420","gene6445"
"1421","gene4160"
"1422","gene20909"
"1423","gene10608"
"1424","gene14048"
"1425","gene6300"
"1426","gene4886"
"1427","gene13830"
"1428","gene14655"
"1429","gene7593"
"1430","gene11180"
"1431","gene24763"
"1432","gene19286"
"1433","gene309"
"1434","gene26053"
"1435","gene23985"
"1436","gene21504"
"1437","gene6011"
"1438","gene4393"
"1439","gene3525"
"1440","gene4316"
"1441","gene9261"
"1442","gene26077"
"1443","gene24591"
"1444","gene5559"
"1445","gene13797"
"1446","gene6319"
"1447","gene8305"
"1448","gene16698"
"1449","gene1367"
"1450","gene17613"
"1451","gene19904"
"1452","gene6223"
"1453","gene16231"
"1454","gene23368"
"1455","gene24527"
"1456","gene2372"
"1457","gene5965"
"1458","gene5369"
"1459","gene10309"
"1460","gene23937"
"1461","gene2931"
"1462","gene6375"
"1463","gene19256"
"1464","gene22425"
"1465","gene6527"
"1466","gene17738"
"1467","gene16985"
"1468","gene18457"
"1469","gene21680"
"1470","gene13619"
"1471","gene15178"
"1472","gene18473"
"1473","gene5115"
"1474","gene25017"
"1475","gene23851"
"1476","gene15650"
"1477","gene18028"
"1478","gene10675"
"1479","gene22869"
"1480","gene19811"
"1481","gene2441"
"1482","rna46626"
"1483","gene23459"
"1484","gene22976"
"1485","gene7573"
"1486","gene5356"
"1487","gene22489"
"1488","gene4666"
"1489","gene16248"
"1490","gene17464"
"1491","gene18030"
"1492","gene26506"
"1493","gene12034"
"1494","gene12217"
"1495","gene1437"
"1496","gene6097"
"1497","gene21121"
